subscriber_id,circle,circle_code,zone,join_date,tenure_months,plan_type,plan_price_inr,plan_validity_days,arpu_last_month_inr,arpu_3m_avg_inr,arpu_6m_avg_inr,recharge_count_6m,avg_recharge_gap_days,days_since_last_recharge,payment_failures_6m,autopay_enabled,data_gb_last_month,data_gb_3m_avg,voice_minutes_last_month,sms_count_last_month,device_brand,is_5g_device,is_5g_active,avg_sinr_db,drop_call_rate_pct,site_congestion_score,complaints_6m,unresolved_complaints,avg_resolution_days,home_product,num_services,family_plan_flag,app_logins_30d,outgoing_to_competitor_pct,roaming_user_flag,offer_exposed_90d,offer_redeemed_90d,mnp_enquiry_flag,churn_flag_30d,churn_flag_90d,churn_reason,churn_date
JIO10037241,Gujarat,GJ,West,2022-10-30,46,Prepaid,189,84,159.78,151.26,160.88,2,77.0,76,1,False,75.07,68.54,585,8,JioBharat / JioPhone,False,False,18.7,0.27,16.6,4,1,7.4,None,1,False,4,27.5,False,False,False,False,False,False,,
JIO10033461,Maharashtra & Goa,MH,West,2024-09-29,23,Prepaid,209,28,171.26,179.16,178.9,2,29.2,23,0,False,58.84,48.79,194,8,realme,False,False,16.4,0.42,10.7,0,0,0.0,JioFiber,2,False,6,36.1,False,False,False,False,False,False,,
JIO10058583,Andhra Pradesh & Telangana,AP,South,2023-12-30,32,Prepaid,155,28,110.27,108.45,119.71,6,28.3,38,0,False,3.27,4.47,288,15,OnePlus,False,False,2.3,0.55,21.2,2,0,4.8,None,2,False,1,66.2,False,False,False,False,False,False,,
JIO10049015,Rajasthan,RJ,North,2024-08-30,24,Postpaid,299,30,205.42,225.45,186.37,6,20.7,3,0,True,40.68,37.47,277,12,Xiaomi,False,False,9.1,0.79,20.8,0,0,0.0,None,1,False,7,30.4,False,True,False,False,False,False,,
JIO10015616,Uttar Pradesh East,UPE,North,2024-09-29,23,Prepaid,349,56,108.41,113.0,110.23,4,52.3,2,0,False,12.07,12.48,185,9,JioBharat / JioPhone,False,False,9.5,0.56,13.9,0,0,0.0,None,1,True,0,29.9,True,False,False,False,False,False,,
JIO10022692,Punjab,PB,North,2025-08-30,12,Prepaid,299,84,100.2,107.45,105.12,3,97.0,210,1,False,13.5,12.29,52,10,OnePlus,False,False,21.3,0.2,69.3,2,0,3.2,None,1,True,0,57.3,False,False,False,True,True,True,Dormant / non-recharge,2026-09-18
JIO10033384,Gujarat,GJ,West,2026-05-01,4,Prepaid,1559,84,241.77,217.97,264.02,2,72.2,3,0,True,9.28,9.63,299,10,JioBharat / JioPhone,False,False,12.5,0.19,49.0,1,0,2.6,None,1,False,15,35.1,True,False,False,False,False,False,,
JIO10061590,Rajasthan,RJ,North,2023-11-30,33,Prepaid,449,28,176.48,145.17,178.23,7,29.2,14,0,False,57.1,44.31,211,13,Samsung,False,False,19.3,0.45,32.2,0,0,0.0,None,1,False,1,26.9,False,False,False,False,False,False,,
JIO10033850,Bihar & Jharkhand,BH,East,2025-12-30,8,Prepaid,209,28,131.01,131.11,164.51,7,27.8,12,0,False,13.33,15.43,123,11,vivo,True,True,14.7,0.61,44.9,0,0,0.0,None,2,False,3,50.8,False,False,False,False,False,False,,
JIO10008412,Maharashtra & Goa,MH,West,2022-09-30,47,Prepaid,349,28,112.17,124.2,111.47,5,31.8,31,0,False,10.28,12.82,138,10,realme,False,False,13.4,0.18,19.1,0,0,0.0,None,1,True,1,7.4,False,False,False,False,False,False,,
JIO10013812,Maharashtra & Goa,MH,West,2023-07-01,38,Prepaid,299,28,205.11,205.42,221.96,8,26.9,18,0,False,18.86,17.93,593,11,OPPO,False,False,4.5,0.5,33.1,1,0,4.3,None,1,False,2,25.5,False,False,False,False,False,False,,
JIO10021746,Punjab,PB,North,2021-09-30,59,Prepaid,209,28,139.59,123.69,156.59,5,29.9,10,1,False,23.57,25.86,212,11,OPPO,False,False,16.7,0.6,17.6,0,0,0.0,None,1,True,4,28.0,False,False,False,False,False,False,,
JIO10063330,Karnataka,KA,South,2022-08-30,48,Prepaid,239,84,316.16,293.61,286.24,2,130.1,47,0,False,25.12,29.29,292,5,POCO,False,False,15.6,0.03,28.8,1,1,1.5,None,1,False,6,45.9,False,True,True,False,False,False,,
JIO10063430,Uttar Pradesh East,UPE,North,2021-11-29,57,Postpaid,449,30,424.28,377.11,457.29,6,40.1,42,0,False,31.33,26.74,364,13,OPPO,True,False,20.7,0.3,38.1,0,0,0.0,None,1,False,9,13.3,False,False,False,True,False,False,,
JIO10043933,Uttar Pradesh West,UPW,North,2025-03-01,18,Prepaid,155,56,152.92,146.75,137.97,4,69.0,123,0,False,20.56,15.64,559,5,OPPO,True,True,11.7,0.4,52.4,1,0,3.5,None,1,True,3,20.6,False,False,False,False,False,False,,
JIO10007240,Kolkata,KO,East,2024-06-30,26,Prepaid,579,28,108.28,107.75,115.4,6,31.0,9,0,False,34.58,45.35,229,10,realme,False,False,24.9,0.31,12.0,1,0,2.4,None,1,False,0,25.4,False,False,False,False,False,False,,
