feature,coefficient,odds_ratio
mnp_enquiry_flag,0.9834579633069723,2.673685782356252
days_since_last_recharge,0.854143242763236,2.349360686304749
outgoing_to_competitor_pct,0.6241663157074346,1.8666890791855053
unresolved_complaints,0.5052691965834246,1.6574316353453502
circle_Himachal Pradesh,0.4933881019639468,1.6378560532065314
site_congestion_score,0.48064118673717804,1.617110939937488
device_brand_POCO,0.38844207810050524,1.4746815646335614
circle_Tamil Nadu,0.37978801563688236,1.461974640820127
circle_West Bengal,0.36865813926872254,1.4457932592401994
complaints_6m,0.340016189884903,1.404970336687508
avg_recharge_gap_days,0.30398534315687376,1.3552491922692935
circle_Punjab,0.3013189817893651,1.3516404214612536
circle_Bihar & Jharkhand,0.29879019841644894,1.3482267336948714
home_product_None,0.2767084487406591,1.3187818224787353
drop_call_rate_pct,0.2588696941309008,1.2954649871382826
plan_type_Postpaid,0.2489801241892429,1.2827165377852825
payment_failures_6m,0.23991256428858462,1.2711380026067707
circle_Odisha,0.2200387428901542,1.2461250081364776
data_gb_3m_avg,0.2079259261371174,1.2311219722110787
zone_North,0.18674402506613447,1.2053187141802564
circle_Gujarat,0.17878099734558373,1.195758841129951
device_brand_Tecno,0.15217089997372882,1.1643592083876013
circle_Andhra Pradesh & Telangana,0.1323023000072916,1.1414533284659842
plan_validity_days,0.09489660669970067,1.099545163645438
circle_Uttar Pradesh West,0.08591279670542375,1.0897112977463996
arpu_6m_avg_inr,0.06372261730257091,1.0657967241856297
recharge_count_6m,0.04584577543270893,1.0469129388107918
roaming_user_flag,0.03663216596515644,1.0373113922196733
device_brand_Apple,0.027370545652982387,1.0277485599764258
circle_Madhya Pradesh & Chhattisgarh,0.013977979208124014,1.0140761279332604
plan_price_inr,0.010642161938233743,1.0106989911599427
voice_minutes_last_month,0.008827406102401925,1.0088664825482372
offer_exposed_90d,0.006104113251201998,1.0061227813151565
zone_West,-0.00016154370219492818,0.9998384693452863
device_brand_Xiaomi,-0.0002563695967552123,0.9997436632631217
sms_count_last_month,-0.0010745133760116622,0.9989260637067731
offer_redeemed_90d,-0.004789462496287283,0.9952219886902439
avg_resolution_days,-0.006769522753237611,0.9932533388494471
device_brand_vivo,-0.010719346599153605,0.9893379008622182
is_5g_device,-0.020989603315096292,0.9792291452534085
circle_Jammu & Kashmir,-0.025951117590758695,0.9743827186194387
device_brand_JioBharat / JioPhone,-0.03922923948845579,0.9615302631742063
circle_Maharashtra & Goa,-0.0543045231574419,0.9471436354105576
device_brand_OPPO,-0.05983538921705583,0.9419195709415313
circle_Assam,-0.0641611618187943,0.9378538411197763
device_brand_Motorola,-0.08605884452255905,0.9175402374143473
device_brand_Samsung,-0.09054848078550873,0.9134300490211948
circle_Delhi NCR,-0.10689897064956513,0.8986164550411454
data_gb_last_month,-0.11471798342209785,0.8916175593863941
device_brand_realme,-0.11736534539102093,0.8892602466756339
home_product_JioFiber,-0.11873564680658565,0.8880425266131169
zone_South,-0.11952394460496076,0.8873427604928074
num_services,-0.12396828030564792,0.8834078618657066
circle_Mumbai,-0.12463801789033609,0.8828164084993886
circle_Uttar Pradesh East,-0.12929004550003445,0.8787190600711092
arpu_3m_avg_inr,-0.1506088089433971,0.8601841291889785
zone_East,-0.15111824921031783,0.8597460283591802
is_5g_active,-0.15597843640615627,0.855577639500823
circle_Karnataka,-0.18319881382525013,0.832602606371799
family_plan_flag,-0.18384166692852988,0.8320675372063577
app_logins_30d,-0.21180430752994064,0.809123021357239
circle_Haryana,-0.2123219336726532,0.8087043065069395
circle_Rajasthan,-0.2333917671877344,0.7918432945290939
home_product_JioAirFiber,-0.24203251438541495,0.7850306523476706
device_brand_OnePlus,-0.24803022057806925,0.7803363607057876
avg_sinr_db,-0.29602604531095345,0.7437680560976085
plan_type_Prepaid,-0.3330398366405911,0.7167416410078224
circle_Kolkata,-0.36500489499655375,0.694193252796082
autopay_enabled,-0.4072648653480788,0.6654679075679847
circle_Kerala,-0.44841544642387343,0.6386393084942151
tenure_months,-0.5681686352925589,0.5665620709652748
circle_North East,-0.6094392729702975,0.5436556260281479
arpu_last_month_inr,-1.0735196188210534,0.34180338024083934
