feature,gain_importance,permutation_importance_pr_auc,permutation_std
mnp_enquiry_flag,0.5408344479348305,0.41839071414179346,0.020387866790503525
days_since_last_recharge,0.1311590924206927,0.12590180646377172,0.004794164710443113
avg_recharge_gap_days,0.04730027911927646,0.026731146488184355,0.0018251833291377303
unresolved_complaints,0.03519831272497159,0.024477397275801692,0.0034623203070826038
outgoing_to_competitor_pct,0.031319403618306436,0.029490927092192698,0.003564751093836655
arpu_last_month_inr,0.03034703347915223,0.014291795817347052,0.0014651331860809004
tenure_months,0.025873997452031686,0.02878310693281456,0.0029316366527258743
site_congestion_score,0.024139949368313516,0.013198091068782359,0.0017621283332170355
app_logins_30d,0.020743352873392174,0.005652528125257117,0.002566513567137717
drop_call_rate_pct,0.015554300663250299,0.0072082554817564535,0.0015516202437602816
avg_sinr_db,0.011553098957104348,0.005226230153872446,0.0007483572662052517
complaints_6m,0.011199638198186045,0.002419902179602795,0.0011422292558271143
arpu_3m_avg_inr,0.010116283713945563,0.0024132919240019922,0.0007401807356217789
arpu_6m_avg_inr,0.009889136220131559,0.002185364944765111,0.0007860497351416904
payment_failures_6m,0.009353016770144922,0.0026740658285830054,0.0006842818412838633
avg_resolution_days,0.007948224995946437,0.0025426800895757664,0.001015980221164792
data_gb_3m_avg,0.005178846515843967,0.0006718442378850442,0.0003976741905796163
recharge_count_6m,0.004871261890450592,-1.975789859733901e-05,0.00033855382581238485
autopay_enabled,0.004697189723571913,0.003991447728333886,0.001396007148079121
voice_minutes_last_month,0.003732333454725576,9.148548737560879e-05,0.0002540525975983006
data_gb_last_month,0.002999887379530231,0.0006166577597172651,0.00043379382016681985
sms_count_last_month,0.0019992880231739863,-0.00022147382648112223,0.00012212381628475558
num_services,0.0018190625864331013,0.001165722807624703,0.0003071605750634963
plan_price_inr,0.001757201316433234,0.0004611069506546439,0.00037929208220402856
plan_validity_days,0.0016596419505740645,0.00021347808155498528,0.0001924122229375795
family_plan_flag,0.001585035472256382,0.0010909377394829444,0.00032910675443133914
zone_North,0.0015825991743761007,0.00015467827768980146,0.00038644376479827987
is_5g_active,0.0010366414398501021,0.0005796502730221365,0.000357911607757637
is_5g_device,0.0009395255725703558,0.00027851759686290387,0.00018601101939519701
home_product_None,0.0009342365393849251,0.0008665421588802235,0.00027544924812383494
zone_South,0.0004206390164747501,-4.4035771145756185e-06,0.0001230821862445026
circle_Tamil Nadu,0.00034062189518661824,0.00010476061705906314,3.212795885810883e-05
zone_West,0.00023121377964794567,9.481605858701059e-05,8.186682569778931e-05
device_brand_POCO,0.0002261410041242851,-3.966311761607333e-05,0.0001030121240449659
circle_Bihar & Jharkhand,0.00021207472846556942,-0.00010820546669221276,2.969943733800996e-05
circle_Karnataka,0.000202304659208227,-8.844699266075118e-06,2.1495784514290916e-05
circle_Uttar Pradesh West,0.00019578328486345733,6.05546906957688e-06,5.815710703685433e-05
roaming_user_flag,0.00016659911987731724,0.00014458744751504326,3.818222974373769e-05
circle_Rajasthan,0.00015656273974690624,0.0,0.0
device_brand_Samsung,0.00011619542031240646,-7.422352042640856e-05,8.560561609167711e-05
device_brand_vivo,9.4415979528795e-05,0.00010421949689864984,5.610697662962725e-05
zone_East,7.141191398474436e-05,0.0,0.0
device_brand_realme,6.80657302704233e-05,0.0,0.0
circle_Uttar Pradesh East,6.779174021581294e-05,0.0,0.0
offer_exposed_90d,5.989726039308231e-05,-5.499612204540316e-05,4.968932732890811e-05
device_brand_JioBharat / JioPhone,4.7962178848718203e-05,-3.180010436598657e-06,8.282308357028593e-05
circle_Kerala,0.0,0.0,0.0
circle_Andhra Pradesh & Telangana,0.0,0.0,0.0
circle_Assam,0.0,0.0,0.0
offer_redeemed_90d,0.0,0.0,0.0
circle_Jammu & Kashmir,0.0,0.0,0.0
circle_Himachal Pradesh,0.0,0.0,0.0
circle_Haryana,0.0,0.0,0.0
circle_Delhi NCR,0.0,0.0,0.0
circle_Gujarat,0.0,0.0,0.0
circle_Punjab,0.0,0.0,0.0
circle_Odisha,0.0,0.0,0.0
circle_West Bengal,0.0,0.0,0.0
circle_Kolkata,0.0,0.0,0.0
circle_Maharashtra & Goa,0.0,0.0,0.0
circle_Madhya Pradesh & Chhattisgarh,0.0,0.0,0.0
circle_Mumbai,0.0,0.0,0.0
circle_North East,0.0,0.0,0.0
device_brand_OPPO,0.0,0.0,0.0
device_brand_Apple,0.0,0.0,0.0
device_brand_Tecno,0.0,0.0,0.0
device_brand_OnePlus,0.0,0.0,0.0
device_brand_Motorola,0.0,0.0,0.0
device_brand_Xiaomi,0.0,0.0,0.0
home_product_JioAirFiber,0.0,0.0,0.0
home_product_JioFiber,0.0,0.0,0.0
plan_type_Postpaid,0.0,0.0,0.0
plan_type_Prepaid,0.0,0.0,0.0
