trial,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,_spw,best_iteration,val_pr_auc,val_roc_auc
18,0.08,3,20.0,0.6609248410852674,0.848160187538868,1.0,5.0,0.5,1.0,210,0.8081068205746789,0.9711088806361313
1,0.05,5,5.0,0.8,0.8,0.0,5.0,0.1,4.355662262129199,225,0.8070743297387252,0.9720280593752438
4,0.03,7,10.0,0.929104645308332,0.7217070994136656,2.0,5.0,0.1,1.0,345,0.8070647612313887,0.9706795142025494
23,0.1,3,10.0,0.8877851823803746,0.7160465198875519,0.5,10.0,0.0,4.355662262129199,237,0.8070361413552016,0.9716285813063892
19,0.05,4,3.0,0.8521130372475554,0.6809063052766953,5.0,1.0,0.1,1.0,321,0.8069197235482054,0.971723599540522
24,0.03,6,10.0,0.7663229608682438,0.5208070869309462,0.0,1.0,0.5,1.0,323,0.8067241539562143,0.9713321511815941
8,0.1,4,1.0,0.6757885436337143,0.5649607526677358,1.0,10.0,0.5,1.0,97,0.8062859941221424,0.9711115572061071
2,0.03,6,10.0,0.943439167964553,0.8486840145296819,1.0,3.0,0.0,4.355662262129199,255,0.8056807760687333,0.9712538615098086
15,0.05,7,20.0,0.6935757943461363,0.529151370844533,5.0,3.0,2.0,1.0,299,0.8055824879662553,0.969860706837521
30,0.05,3,10.0,0.7124935135356033,0.8297113173459509,2.0,10.0,1.0,18.971793741736448,235,0.8048775608151321,0.971067616849008
20,0.05,7,3.0,0.8798828535242997,0.6329349807297597,5.0,10.0,2.0,1.0,528,0.8048551800175396,0.9705314106639009
29,0.05,4,1.0,0.9305167696777431,0.9480803859198834,1.0,1.0,0.1,4.355662262129199,240,0.8045816189257631,0.9709023386530161
7,0.03,5,1.0,0.8732195812969819,0.8723810779539085,0.5,20.0,0.5,1.0,435,0.8043783067502686,0.9705479161787502
21,0.1,4,10.0,0.7797446008575155,0.6361207809225795,0.0,1.0,0.5,18.971793741736448,90,0.8042842140113097,0.9701979546544437
22,0.03,5,10.0,0.722382649660261,0.789609784470948,0.5,5.0,0.0,4.355662262129199,275,0.8041796641700789,0.9706641239251899
17,0.1,4,1.0,0.6090848292535441,0.5450239303878208,2.0,10.0,1.0,4.355662262129199,90,0.8036890379571714,0.9701491072523893
14,0.03,5,10.0,0.6123271338271757,0.7183586946161812,0.5,20.0,0.1,1.0,389,0.8035655235663995,0.9703259839182754
9,0.03,5,10.0,0.7748607675489323,0.9163390980289188,2.0,10.0,0.0,1.0,351,0.8034305101044223,0.9704343850022862
16,0.05,6,1.0,0.9135592836425654,0.8321567701636938,1.0,5.0,0.5,4.355662262129199,136,0.8025532566570679,0.9706361314641953
12,0.05,6,5.0,0.8274964783811575,0.5698984990638287,1.0,3.0,0.0,4.355662262129199,172,0.8020269800774048,0.9711795866929863
13,0.08,6,5.0,0.8260944425924756,0.8824994287080128,1.0,10.0,0.5,4.355662262129199,126,0.8016374654663617,0.9695847970825386
10,0.1,7,5.0,0.7549913516120698,0.644164051965122,5.0,3.0,1.0,4.355662262129199,82,0.8012572934406244,0.9699059854796079
6,0.03,7,5.0,0.9113533988295047,0.5973193539259838,5.0,3.0,0.5,4.355662262129199,212,0.8009307362438427,0.9695473251028807
26,0.1,5,5.0,0.8363661965925667,0.5114019355148487,0.5,1.0,2.0,4.355662262129199,72,0.8003712526369429,0.9704470987096704
3,0.1,6,10.0,0.9144257221107815,0.5640568163377729,5.0,5.0,0.5,4.355662262129199,103,0.8002264397117843,0.9707421905494775
27,0.05,5,10.0,0.6330919999689754,0.7433291654190801,2.0,5.0,0.5,18.971793741736448,149,0.799697115789464,0.9702339768253648
28,0.03,5,5.0,0.7067902652367575,0.6657844986712761,1.0,5.0,0.5,18.971793741736448,312,0.7996960671777924,0.9698015992505604
5,0.08,7,1.0,0.9310524687970329,0.8158321995610325,0.0,10.0,1.0,4.355662262129199,91,0.7989549045099372,0.9687608596250571
25,0.05,6,1.0,0.6413611870890207,0.793822286088856,2.0,1.0,0.1,18.971793741736448,102,0.7957637691298687,0.9679668105323028
11,0.03,7,1.0,0.6029449079004022,0.8934621887510692,2.0,10.0,0.5,18.971793741736448,239,0.7953659828774374,0.9687485920126692
