,univariate_auc
days_since_last_recharge,0.8132510905263767
mnp_enquiry_flag,0.8080455451460854
avg_recharge_gap_days,0.7917097267162492
recharge_count_6m,0.780300561466571
plan_validity_days,0.775600402679667
arpu_last_month_inr,0.697215619125206
arpu_3m_avg_inr,0.6938857657166942
app_logins_30d,0.6890537331369033
arpu_6m_avg_inr,0.6872706272645394
payment_failures_6m,0.6444903754984835
complaints_6m,0.6194365674638485
site_congestion_score,0.6084794502634935
unresolved_complaints,0.60837377411973
outgoing_to_competitor_pct,0.6079025124541436
tenure_months,0.6055359488365808
avg_resolution_days,0.597638803852519
data_gb_last_month,0.5828577405137481
data_gb_3m_avg,0.5807425092597513
is_5g_device,0.5775473192434584
drop_call_rate_pct,0.5730887016275009
is_5g_active,0.5678707485508997
autopay_enabled,0.5655929428595682
avg_sinr_db,0.5632998219668675
plan_price_inr,0.5561184274625177
plan_type,0.5543293911829406
zone,0.5515829328038152
num_services,0.546013567978976
voice_minutes_last_month,0.5424722067477227
home_product,0.5381697966598331
circle,0.5381399113209452
family_plan_flag,0.5163336685317897
sms_count_last_month,0.5059992541233527
roaming_user_flag,0.5052610764691542
device_brand,0.5006681416522618
offer_redeemed_90d,0.5004825103736845
offer_exposed_90d,0.5002539864967437
