subscriber_id,actual_churn_90d,tenure_months,plan_price_inr,plan_validity_days,arpu_last_month_inr,arpu_3m_avg_inr,arpu_6m_avg_inr,recharge_count_6m,avg_recharge_gap_days,days_since_last_recharge,payment_failures_6m,autopay_enabled,data_gb_last_month,data_gb_3m_avg,voice_minutes_last_month,sms_count_last_month,is_5g_device,is_5g_active,avg_sinr_db,drop_call_rate_pct,site_congestion_score,complaints_6m,unresolved_complaints,avg_resolution_days,num_services,family_plan_flag,app_logins_30d,outgoing_to_competitor_pct,roaming_user_flag,offer_exposed_90d,offer_redeemed_90d,mnp_enquiry_flag,circle_Andhra Pradesh & Telangana,circle_Assam,circle_Bihar & Jharkhand,circle_Delhi NCR,circle_Gujarat,circle_Haryana,circle_Himachal Pradesh,circle_Jammu & Kashmir,circle_Karnataka,circle_Kerala,circle_Kolkata,circle_Madhya Pradesh & Chhattisgarh,circle_Maharashtra & Goa,circle_Mumbai,circle_North East,circle_Odisha,circle_Punjab,circle_Rajasthan,circle_Tamil Nadu,circle_Uttar Pradesh East,circle_Uttar Pradesh West,circle_West Bengal,zone_East,zone_North,zone_South,zone_West,device_brand_Apple,device_brand_JioBharat / JioPhone,device_brand_Motorola,device_brand_OPPO,device_brand_OnePlus,device_brand_POCO,device_brand_Samsung,device_brand_Tecno,device_brand_Xiaomi,device_brand_realme,device_brand_vivo,home_product_JioAirFiber,home_product_JioFiber,home_product_None,plan_type_Postpaid,plan_type_Prepaid
JIO10047257,0,0.08996232,0.018162064,-0.015326139,0.023093976,-0.025762623,0.0093564745,-0.10412812,-0.37741843,-0.6295561,-0.19237545,-0.43734875,-0.037903402,-0.038755327,-0.013705771,0.032592867,0.031219475,0.03627706,0.27318949,-0.1978046,-0.49727055,-0.17104621,-0.34822828,-0.13643992,0.05854424,0.031127295,-0.30602944,-0.38858464,-0.0032955306,-0.0012701958,0.0,-0.89711004,0.0,0.0,-0.0026651078,0.0,0.0,0.0,0.0,0.0,0.0020166112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020350204,0.0,-0.0012019872,0.0,0.0,-0.03124333,0.008834729,0.0016168475,0.0,-0.0018145039,0.0,0.0,0.0,-0.0029794788,0.0008086815,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.009768914,0.0,0.0
JIO10035277,0,-0.33943936,0.019860912,0.022406861,0.20794356,0.03936824,0.19056728,0.07285482,1.035797,2.0250769,0.39856318,0.08148498,0.07425014,-0.025721276,0.03580184,0.028916646,0.015297588,0.041082516,0.12934086,-0.1342758,0.31907555,-0.13507406,-0.26085094,-0.16208102,0.03617928,0.026658293,0.27500132,0.58391064,-0.001355554,-0.0032142946,0.0,-0.8377575,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0022866447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020350204,0.0,-0.0012019872,0.0,0.0,0.0348641,0.011602553,0.0018319968,0.0,-0.0018145039,0.0,0.0,0.0,-0.0020454093,-0.0027451294,0.0,0.0,0.0,-0.0013741036,0.0,0.0,0.013792759,0.0,0.0
JIO10003705,0,-0.7684734,0.031315677,-0.024297941,-0.17673224,-0.021158775,-0.0077858907,-0.06020126,-0.32003134,0.08860988,-0.22918558,-0.4111024,-0.054201093,-0.058262125,0.00599456,0.024225602,-0.03226339,-0.076503664,-0.19597438,-0.21923213,-0.3868174,-0.16433148,-0.34663898,-0.14466465,0.035972007,-0.18302135,-0.1833509,-0.6661329,-0.001355554,-0.0012701958,0.0,-0.8072546,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0020166112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020350204,0.0,-0.0034435585,0.0,0.0,-0.02217114,0.008553196,-0.009384888,0.0,-0.0008037476,0.0,0.0,0.0,-0.002914422,0.0008086815,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.0103081,0.0,0.0
JIO10018348,0,-0.4824211,-0.01460937,-0.01190371,-0.48226628,-0.29672408,-0.15915424,-0.05717368,-0.2636759,-0.52337873,0.123142466,0.06844558,0.053703573,-0.008027062,-0.096875615,-0.055279702,-0.045686055,-0.072385356,-0.20359917,0.34726998,-0.49532068,0.39376825,-0.27664134,0.0929894,0.055885773,0.039674405,-0.33700538,-0.2683365,-0.001355554,-0.0013952255,0.0,-0.7896222,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0022866447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029237121,0.0,-0.0026725947,0.0,0.0,-0.018728092,0.009352098,0.0016168475,0.0,-0.0018145039,0.0,0.0,0.0,-0.0029794788,0.0008086815,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.011735485,0.0,0.0
JIO10054692,0,0.7430052,-0.045810625,-0.019674838,-0.08864935,-0.03771569,0.011728551,-0.090536594,-0.3165715,-1.1496284,-0.2126925,0.07173202,0.09236305,0.04743867,0.016594155,0.039205745,-0.046745837,-0.06733813,-0.41078222,-0.1570127,0.03568937,-0.08611626,0.7169963,0.13037251,-0.10194428,0.02509445,0.101047225,-0.42357275,-0.001355554,-0.0012701958,0.0,-0.96177566,0.0,0.0,-0.0016505938,0.0,0.0,0.0,0.0,0.0,0.0018830923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002004926,0.0,-0.002681523,0.0,0.0,-0.03640341,-0.039656643,0.0045104614,0.0,-0.00072069914,0.0,0.0,0.0,-0.0029794788,0.0008086815,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.010481449,0.0,0.0
JIO10053658,0,-0.6222386,-0.08323225,-0.019196093,-0.4659183,-0.25962943,-0.15100154,-0.0731012,-0.22582558,-0.404256,0.13824825,0.06309409,-0.04858218,-0.065090746,0.06000775,-0.008105343,-0.048361484,0.024613246,-0.5093669,-0.10688741,0.63295263,0.391579,0.7210881,0.08880455,0.03282566,0.03609676,-0.10431979,-0.01926296,-0.001355554,-0.0032142946,0.0,-0.8231109,0.0,0.0,0.0108053805,0.0,0.0,0.0,0.0,0.0,0.0022866447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022308694,0.0,-0.0018432784,0.0,0.0,-0.06612991,0.0044925874,0.0071492656,0.0,-0.00072069914,0.0,0.0,0.0,-0.0029794788,-0.004457484,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.012782517,0.0,0.0
JIO10036557,0,-0.7223466,0.013813326,-0.021187177,-0.29600835,-0.054874808,-0.032849576,-0.040847126,-0.33848774,-0.5597257,-0.20648019,0.08824277,-0.052516114,-0.058231123,-0.058559373,-0.03897331,0.021203568,0.022350408,-0.08629948,-0.24694774,0.68981546,-0.11668023,-0.29123804,0.2349205,-0.073053665,-0.17197968,-0.13751876,-0.48209634,-0.001355554,0.0118865585,0.0,-0.82808644,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0022866447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021372263,0.0,0.043607768,0.0,0.0,0.05142135,0.009539939,0.0016168475,0.0,-0.0018145039,0.0,0.0,0.0,-0.0022922636,0.0008086815,0.0,0.0,0.0,0.0049498403,0.0,0.0,0.0115449615,0.0,0.0
JIO10023610,0,-0.5532504,0.026627228,-0.01894413,-0.5192592,-0.2800381,-0.12022873,-0.0482212,-0.30950668,-0.27656132,0.12787466,0.08335476,0.036004107,-0.015938645,-0.034934442,-0.043298367,-0.037900113,-0.08576021,0.046875432,-0.15026703,-0.5439775,-0.16509442,-0.26276186,-0.1443034,-0.10326418,0.030968057,-0.30438268,-0.12105171,-0.001355554,-0.0012701958,0.0,-0.83029044,0.0,0.0,-0.0007049219,0.0,0.0,0.0,0.0,0.0,0.0010002037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029237121,0.0,-0.0026725947,0.0,0.0,-0.024975963,0.012695439,-0.009384888,0.0,-0.0018145039,0.0,0.0,0.0,-0.0029794788,0.0008086815,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.01186439,0.0,0.0
JIO10032783,0,-0.19471331,0.022929806,0.03693248,-0.052626736,0.016073069,0.058432557,0.091465354,1.0557762,2.1391938,0.14284633,-0.31391978,0.06330462,-0.012423872,0.007673757,-0.0031734817,0.011456851,0.019763187,-0.011685912,-0.2109287,-0.39675277,-0.15064652,-0.27369767,-0.13153851,0.038194776,-0.1930326,-0.33501688,-0.8161299,-0.001355554,0.0046972227,0.0,-0.9176758,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0020166112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020350204,0.0,-0.0033519764,0.0,0.0,-0.033853557,0.011366862,0.0018319968,0.0,-0.0008037476,0.0,0.0,0.0,-0.003601637,-0.0027451294,0.0,0.0,0.0,-0.000913153,0.0,0.0,0.0113429,0.0,0.0
JIO10046844,0,-0.75991434,-0.018602973,0.037481852,-0.19697519,-0.01061443,-0.26550043,0.06464842,1.0104907,2.0406172,0.51306903,0.059680376,-0.057515405,-0.05182796,-0.13134612,0.07391829,-0.021548918,-0.033287384,-0.12061388,0.3318381,0.07181089,-0.13139632,-0.23392877,-0.14296214,-0.071409374,0.03160663,-0.075409114,-0.49291167,-0.0032955306,-0.0032142946,0.0,-0.8890258,0.0,0.0,-0.0009219335,0.0,0.0,0.0,0.0,0.0,0.0022866447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020350204,0.0,-0.0033519764,0.0,0.0,0.03740093,0.009719294,0.0018319968,0.0,-0.0018145039,0.0,0.0,0.0,-0.0022922636,0.00049802434,0.0,0.0,0.0,0.003119691,0.0,0.0,-0.22211811,0.0,0.0
